net_dim,agents,iters,threshold-mean,threshold-var,active
50,2013,150,0.1,0.1,2013
50,2006,150,0.1,0.1,2006
50,1938,150,0.1,0.1,1938
50,1994,150,0.1,0.1,1994
50,2015,150,0.1,0.1,2015
50,2044,150,0.1,0.1,2044
50,2010,150,0.1,0.1,2010
50,1977,150,0.1,0.1,1977
50,1986,150,0.1,0.1,1986
50,2004,150,0.1,0.1,2004
50,2004,150,0.1,0.1,2003
50,2020,150,0.1,0.1,2020
50,1983,150,0.1,0.1,1983
50,2000,150,0.1,0.1,2000
50,1968,150,0.1,0.1,1968
50,2033,150,0.1,0.1,2033
50,1982,150,0.1,0.1,1982
50,2019,150,0.1,0.1,2019
50,1975,150,0.1,0.1,1975
50,2001,150,0.1,0.1,2001
50,2015,150,0.15,0.1,2015
50,1987,150,0.15,0.1,1986
50,1990,150,0.15,0.1,1989
50,2006,150,0.15,0.1,2006
50,2012,150,0.15,0.1,2012
50,2005,150,0.15,0.1,2004
50,2032,150,0.15,0.1,2032
50,1997,150,0.15,0.1,1997
50,1996,150,0.15,0.1,1996
50,1980,150,0.15,0.1,1980
50,2021,150,0.15,0.1,2020
50,1998,150,0.15,0.1,1998
50,1988,150,0.15,0.1,1986
50,1994,150,0.15,0.1,1993
50,1988,150,0.15,0.1,1987
50,2005,150,0.15,0.1,2004
50,2008,150,0.15,0.1,2007
50,1970,150,0.15,0.1,1970
50,1996,150,0.15,0.1,1994
50,1989,150,0.15,0.1,1989
50,2032,150,0.17,0.1,2032
50,1976,150,0.17,0.1,1975
50,2019,150,0.17,0.1,2018
50,2045,150,0.17,0.1,2041
50,2013,150,0.17,0.1,2012
50,2026,150,0.17,0.1,2023
50,2014,150,0.17,0.1,2013
50,2011,150,0.17,0.1,2008
50,1999,150,0.17,0.1,1998
50,1989,150,0.17,0.1,1988
50,2005,150,0.17,0.1,2002
50,2019,150,0.17,0.1,2016
50,1976,150,0.17,0.1,1974
50,2032,150,0.17,0.1,2032
50,1974,150,0.17,0.1,1970
50,1973,150,0.17,0.1,1973
50,2021,150,0.17,0.1,2021
50,2032,150,0.17,0.1,2028
50,2032,150,0.17,0.1,2030
50,1987,150,0.17,0.1,1984
50,1972,150,0.19,0.1,81
50,2012,150,0.19,0.1,2009
50,2010,150,0.19,0.1,133
50,2011,150,0.19,0.1,2008
50,2002,150,0.19,0.1,2001
50,2053,150,0.19,0.1,2047
50,1979,150,0.19,0.1,155
50,2005,150,0.19,0.1,149
50,2009,150,0.19,0.1,2007
50,1997,150,0.19,0.1,1996
50,1985,150,0.19,0.1,1884
50,1996,150,0.19,0.1,1812
50,1982,150,0.19,0.1,1975
50,1957,150,0.19,0.1,154
50,1999,150,0.19,0.1,1995
50,2013,150,0.19,0.1,2013
50,1974,150,0.19,0.1,113
50,1990,150,0.19,0.1,1988
50,2010,150,0.19,0.1,2005
50,1998,150,0.19,0.1,1993
50,1986,150,0.2,0.1,1135
50,1991,150,0.2,0.1,349
50,2002,150,0.2,0.1,233
50,1979,150,0.2,0.1,1975
50,1967,150,0.2,0.1,593
50,2000,150,0.2,0.1,374
50,1974,150,0.2,0.1,115
50,1996,150,0.2,0.1,128
50,2027,150,0.2,0.1,2020
50,2011,150,0.2,0.1,46
50,1986,150,0.2,0.1,83
50,1993,150,0.2,0.1,349
50,1990,150,0.2,0.1,83
50,2027,150,0.2,0.1,2023
50,2005,150,0.2,0.1,1591
50,2024,150,0.2,0.1,53
50,1997,150,0.2,0.1,331
50,2010,150,0.2,0.1,70
50,2009,150,0.2,0.1,275
50,2030,150,0.2,0.1,1752
50,1993,150,0.21,0.1,184
50,2031,150,0.21,0.1,142
50,1985,150,0.21,0.1,249
50,2007,150,0.21,0.1,72
50,2022,150,0.21,0.1,303
50,2012,150,0.21,0.1,108
50,2024,150,0.21,0.1,36
50,1973,150,0.21,0.1,133
50,2017,150,0.21,0.1,83
50,1998,150,0.21,0.1,62
50,2006,150,0.21,0.1,132
50,1988,150,0.21,0.1,206
50,1997,150,0.21,0.1,87
50,1966,150,0.21,0.1,234
50,1990,150,0.21,0.1,243
50,1997,150,0.21,0.1,65
50,1994,150,0.21,0.1,53
50,2016,150,0.21,0.1,90
50,2020,150,0.21,0.1,209
50,1987,150,0.21,0.1,252
50,2000,150,0.23,0.1,70
50,1999,150,0.23,0.1,88
50,2017,150,0.23,0.1,58
50,2011,150,0.23,0.1,37
50,1988,150,0.23,0.1,46
50,2027,150,0.23,0.1,124
50,1981,150,0.23,0.1,42
50,1972,150,0.23,0.1,61
50,1983,150,0.23,0.1,53
50,1964,150,0.23,0.1,55
50,1992,150,0.23,0.1,72
50,2013,150,0.23,0.1,77
50,2024,150,0.23,0.1,63
50,2035,150,0.23,0.1,65
50,2018,150,0.23,0.1,48
50,2014,150,0.23,0.1,18
50,1998,150,0.23,0.1,40
50,2015,150,0.23,0.1,87
50,1979,150,0.23,0.1,68
50,2037,150,0.23,0.1,17
50,1990,150,0.25,0.1,47
50,2047,150,0.25,0.1,37
50,1979,150,0.25,0.1,22
50,1999,150,0.25,0.1,38
50,2037,150,0.25,0.1,33
50,2002,150,0.25,0.1,39
50,2039,150,0.25,0.1,20
50,2030,150,0.25,0.1,51
50,1995,150,0.25,0.1,52
50,2002,150,0.25,0.1,34
50,2003,150,0.25,0.1,30
50,2019,150,0.25,0.1,36
50,2016,150,0.25,0.1,39
50,1993,150,0.25,0.1,37
50,1991,150,0.25,0.1,36
50,1991,150,0.25,0.1,29
