net_dim,agents,iters,threshold-mean,threshold-var,active
50,2018,200,0.1,0.1,2017
50,1997,200,0.1,0.1,1996
50,1979,200,0.1,0.1,1979
50,1982,200,0.1,0.1,1982
50,2010,200,0.1,0.1,2009
50,1992,200,0.1,0.1,1992
50,2013,200,0.1,0.1,2013
50,2010,200,0.1,0.1,2010
50,2003,200,0.1,0.1,2003
50,2004,200,0.1,0.1,2004
50,1987,200,0.1,0.1,1987
50,2032,200,0.1,0.1,2032
50,1980,200,0.1,0.1,1980
50,2012,200,0.1,0.1,2012
50,2021,200,0.1,0.1,2021
50,1982,200,0.1,0.1,1981
50,1986,200,0.1,0.1,1986
50,2021,200,0.1,0.1,2021
50,1995,200,0.1,0.1,1995
50,2026,200,0.1,0.1,2026
50,2030,200,0.1,0.1,2030
50,2027,200,0.1,0.1,2027
50,1985,200,0.1,0.1,1985
50,1972,200,0.1,0.1,1972
50,2005,200,0.1,0.1,2005
50,2040,200,0.1,0.1,2040
50,1971,200,0.1,0.1,1971
50,1994,200,0.1,0.1,1993
50,1996,200,0.1,0.1,1996
50,2018,200,0.1,0.1,2018
50,2012,200,0.15,0.1,2011
50,2004,200,0.15,0.1,2004
50,1959,200,0.15,0.1,1957
50,2018,200,0.15,0.1,2017
50,1993,200,0.15,0.1,1992
50,1987,200,0.15,0.1,1986
50,2006,200,0.15,0.1,2005
50,1981,200,0.15,0.1,1981
50,2001,200,0.15,0.1,2000
50,2017,200,0.15,0.1,2016
50,2033,200,0.15,0.1,2032
50,2036,200,0.15,0.1,2034
50,2017,200,0.15,0.1,2017
50,2023,200,0.15,0.1,2021
50,1990,200,0.15,0.1,1989
50,2015,200,0.15,0.1,2014
50,2012,200,0.15,0.1,2011
50,2047,200,0.15,0.1,2047
50,1983,200,0.15,0.1,1982
50,2028,200,0.15,0.1,2027
50,1983,200,0.15,0.1,1982
50,2002,200,0.15,0.1,2002
50,1975,200,0.15,0.1,1974
50,1977,200,0.15,0.1,1977
50,2024,200,0.15,0.1,2023
50,1980,200,0.15,0.1,1979
50,2011,200,0.15,0.1,2011
50,2023,200,0.15,0.1,2021
50,1974,200,0.15,0.1,1973
